label,title,,,,,,,,,,,,,,,,,,
0,Consent,,,,,,,,,,,,,,,,,,
1,Information we collect,,,,,,,,,,,,,,,,,,
13,How we use your information,,,,,,,,,,,,,,,,,,
1,Log Files,,,,,,,,,,,,,,,,,,
5,Advertising Partners Privacy Policies,,,,,,,,,,,,,,,,,,
14,Third Party Privacy Policies,,,,,,,,,,,,,,,,,,
6,CCPA Privacy Rights (Do Not Sell My Personal Information),,,,,,,,,,,,,,,,,,
4,GDPR Data Protection Rights,,,,,,,,,,,,,,,,,,
7,Children's Information,,,,,,,,,,,,,,,,,,
11,CONTACT US,,,,,,,,,,,,,,,,,,
0,Phyllis Pieri,,,,,,,,,,,,,,,,,,
0,25372 Juniper Drive,,,,,,,,,,,,,,,,,,
0,"Mission Viejo, CA 92691",,,,,,,,,,,,,,,,,,
0,425-922-4126,,,,,,,,,,,,,,,,,,
11,FOLLOW US,,,,,,,,,,,,,,,,,,
11,Contact US_,,,,,,,,,,,,,,,,,,
0,Interpretation,,,,,,,,,,,,,,,,,,
0,Definitions,,,,,,,,,,,,,,,,,,
1,Types of Data Collected,,,,,,,,,,,,,,,,,,
13,Use of Your Personal Data,,,,,,,,,,,,,,,,,,
12,Retention of Your Personal Data,,,,,,,,,,,,,,,,,,
3,Transfer of Your Personal Data,,,,,,,,,,,,,,,,,,
3,Disclosure of Your Personal Data,,,,,,,,,,,,,,,,,,
4,Security of Your Personal Data,,,,,,,,,,,,,,,,,,
0,Privacy Policy,,,,,,,,,,,,,,,,,,
0,Interpretation and Definitions,,,,,,,,,,,,,,,,,,
13,Collecting and Using Your Personal Data,,,,,,,,,,,,,,,,,,
8,Your California Privacy Rights (California's Shine the Light law),,,,,,,,,,,,,,,,,,
8,California Privacy Rights for Minor Users (California Business and Professions Code Section 22581),,,,,,,,,,,,,,,,,,
14,Links to Other Websites,,,,,,,,,,,,,,,,,,
10,Changes to this Privacy Policy,,,,,,,,,,,,,,,,,,
11,Contact Us,,,,,,,,,,,,,,,,,,
1,"What personal information do we collect from the people that visit our blog, website or app?",,,,,,,,,,,,,,,,,,
10,When do we collect information?,,,,,,,,,,,,,,,,,,
13,How do we use your information? ,,,,,,,,,,,,,,,,,,
4,How do we protect your information?,,,,,,,,,,,,,,,,,,
2,Do we use 'cookies'?,,,,,,,,,,,,,,,,,,
2,We use cookies to:,,,,,,,,,,,,,,,,,,
14,Third-party disclosure,,,,,,,,,,,,,,,,,,
14,Third-party links,,,,,,,,,,,,,,,,,,
0,Google,,,,,,,,,,,,,,,,,,
7,COPPA (Children Online Privacy Protection Act),,,,,,,,,,,,,,,,,,
0,CAN SPAM Act,,,,,,,,,,,,,,,,,,
0,"To be in accordance with CANSPAM, we agree to the following:",,,,,,,,,,,,,,,,,,
0,ALL,,,,,,,,,,,,,,,,,,
11,Contacting Us,,,,,,,,,,,,,,,,,,
1,"What personal information do we collect from the people that visit our blog, website or app?",,,,,,,,,,,,,,,,,,
10,When do we collect information?,,,,,,,,,,,,,,,,,,
13,How do we use your information? ,,,,,,,,,,,,,,,,,,
4,How do we protect your information?,,,,,,,,,,,,,,,,,,
2,Do we use 'cookies'?,,,,,,,,,,,,,,,,,,
14,Third-party disclosure,,,,,,,,,,,,,,,,,,
14,Third-party links,,,,,,,,,,,,,,,,,,
1,Information Collection And Use,,,,,,,,,,,,,,,,,,
13,Use of Data,,,,,,,,,,,,,,,,,,
3,Transfer Of Data,,,,,,,,,,,,,,,,,,
3,Disclosure Of Data,,,,,,,,,,,,,,,,,,
4,Security Of Data,,,,,,,,,,,,,,,,,,
11,Service Providers,,,,,,,,,,,,,,,,,,
14,Links To Other Sites,,,,,,,,,,,,,,,,,,
7,Children's Privacy,,,,,,,,,,,,,,,,,,
9,Changes To This Privacy Policy,,,,,,,,,,,,,,,,,,
11,Contact Us,,,,,,,,,,,,,,,,,,
0,TABLE OF CONTENTS,,,,,,,,,,,,,,,,,,
1,1. WHAT INFORMATION DO WE COLLECT?,,,,,,,,,,,,,,,,,,
13,2. HOW DO WE USE YOUR INFORMATION?,,,,,,,,,,,,,,,,,,
3,3. WILL YOUR INFORMATION BE SHARED WITH ANYONE?,,,,,,,,,,,,,,,,,,
12,4. HOW LONG DO WE KEEP YOUR INFORMATION?,,,,,,,,,,,,,,,,,,
4,5. HOW DO WE KEEP YOUR INFORMATION SAFE?,,,,,,,,,,,,,,,,,,
0,6. DO WE COLLECT INFORMATION FROM MINORS?,,,,,,,,,,,,,,,,,,
6,7. WHAT ARE YOUR PRIVACY RIGHTS?,,,,,,,,,,,,,,,,,,
0,8. CONTROLS FOR DO-NOT-TRACK FEATURES,,,,,,,,,,,,,,,,,,
8,9. DO CALIFORNIA RESIDENTS HAVE SPECIFIC PRIVACY RIGHTS?,,,,,,,,,,,,,,,,,,
9,10. DO WE MAKE UPDATES TO THIS POLICY?,,,,,,,,,,,,,,,,,,
11,11. HOW CAN YOU CONTACT US ABOUT THIS POLICY?,,,,,,,,,,,,,,,,,,
1,1. Information we collect,,,,,,,,,,,,,,,,,,
0,2. Our legal bases for processing,,,,,,,,,,,,,,,,,,
13,3. Collecting and using information,,,,,,,,,,,,,,,,,,
14,4. Disclosure of personal information to third parties,,,,,,,,,,,,,,,,,,
3,5. International transfers of personal information,,,,,,,,,,,,,,,,,,
6,6. Your rights as our user,,,,,,,,,,,,,,,,,,
2,Cookies,,,,,,,,,,,,,,,,,,
0,Business transfers,,,,,,,,,,,,,,,,,,
0,About this policy,,,,,,,,,,,,,,,,,,
1,Information we may collect,,,,,,,,,,,,,,,,,,
2,Cookies,,,,,,,,,,,,,,,,,,
13,How your information is used,,,,,,,,,,,,,,,,,,
3,Disclosure of your information,,,,,,,,,,,,,,,,,,
6,Your right to opt out,,,,,,,,,,,,,,,,,,
7,Children's privacy online,,,,,,,,,,,,,,,,,,
9,Changes in our privacy notice,,,,,,,,,,,,,,,,,,
6,How to change or correct your personal information,,,,,,,,,,,,,,,,,,
0,Former customers,,,,,,,,,,,,,,,,,,
1,Digital information collection,,,,,,,,,,,,,,,,,,
4,Information security,,,,,,,,,,,,,,,,,,
3,Sharing information,,,,,,,,,,,,,,,,,,
0,Public forums,,,,,,,,,,,,,,,,,,
0,Encrypted email,,,,,,,,,,,,,,,,,,
0,Fraud and other internet risks,,,,,,,,,,,,,,,,,,
10,Information collected in contests or surveys,,,,,,,,,,,,,,,,,,
14,Links to other websites,,,,,,,,,,,,,,,,,,
6,How to refuse communications,,,,,,,,,,,,,,,,,,
7,Protecting children_ online privacy,,,,,,,,,,,,,,,,,,
9,Changes,,,,,,,,,,,,,,,,,,
1,Log Data,,,,,,,,,,,,,,,,,,
2,Cookies,,,,,,,,,,,,,,,,,,
11,Service Providers,,,,,,,,,,,,,,,,,,
4,Security,,,,,,,,,,,,,,,,,,
14,Links to Other Sites,,,,,,,,,,,,,,,,,,
7,Children__ Privacy,,,,,,,,,,,,,,,,,,
9,Changes to This Privacy Policy,,,,,,,,,,,,,,,,,,
11,Contact Us,,,,,,,,,,,,,,,,,,
15,1. the information we collect and use,,,,,,,,,,,,,,,,,,
1,1.1 location-based information,,,,,,,,,,,,,,,,,,
1,1.2 account information,,,,,,,,,,,,,,,,,,
1,1.3 usage information,,,,,,,,,,,,,,,,,,
1,1.4 device utilization information,,,,,,,,,,,,,,,,,,
1,1.5 survey information,,,,,,,,,,,,,,,,,,
10,2. how we use consumer information that we collect,,,,,,,,,,,,,,,,,,
0,"2.6 Contests, Sweepstakes and Other Promotions",,,,,,,,,,,,,,,,,,
14,3.1 Contractors and Third-Party Service Providers,,,,,,,,,,,,,,,,,,
11,3.2 Utility and Device Providers,,,,,,,,,,,,,,,,,,
0,3.4 Affiliated Companies,,,,,,,,,,,,,,,,,,
14,3.5 Third-Party Websites,,,,,,,,,,,,,,,,,,
6,4.2 Changing your Privacy Settings: How to Opt-In or Opt-Out,,,,,,,,,,,,,,,,,,
6,4.4 Review and Update of Account Information,,,,,,,,,,,,,,,,,,
7,5. INFORMATION FROM CHILDREN,,,,,,,,,,,,,,,,,,
12,7. SECURITY OF CONSUMER INFORMATION AND DATA RETENTION,,,,,,,,,,,,,,,,,,
0,8. GENERAL,,,,,,,,,,,,,,,,,,
9,8.1 Amendments to this Privacy Policy,,,,,,,,,,,,,,,,,,
11,8.2 Contact Us,,,,,,,,,,,,,,,,,,
8,9. California Consumer Privacy Act (CCPA) Rights,,,,,,,,,,,,,,,,,,
1,"What personal information do we collect from the people that visit our blog, website or app?",,,,,,,,,,,,,,,,,,
10,When do we collect information?,,,,,,,,,,,,,,,,,,
13,How do we use your information?,,,,,,,,,,,,,,,,,,
4,How do we protect your information?,,,,,,,,,,,,,,,,,,
3,Third-party disclosure,,,,,,,,,,,,,,,,,,
14,Third-party links,,,,,,,,,,,,,,,,,,
8,California Online Privacy Protection Act,,,,,,,,,,,,,,,,,,
14,Does our site allow third-party behavioral tracking?,,,,,,,,,,,,,,,,,,
7,COPPA (Children Online Privacy Protection Act),,,,,,,,,,,,,,,,,,
7,We do not specifically market to children under the age of 13 years old.,,,,,,,,,,,,,,,,,,
0,"Great!""0""",SpokenLayer Privacy Policy,,,,,,,,,,,,,,,,,
0,1. Introduction,,,,,,,,,,,,,,,,,,
0,2.  Definitions,,,,,,,,,,,,,,,,,,
1,3.  Information Collected,,,,,,,,,,,,,,,,,,
13,4. How we Use Your Personal Date that We Collect,,,,,,,,,,,,,,,,,,
0,"5.  Accessing, Editing, and Removing Your Information",,,,,,,,,,,,,,,,,,
2,6.  Cookies,,,,,,,,,,,,,,,,,,
14,7.  Third Party Websites,,,,,,,,,,,,,,,,,,
14,8.  Third Party Access to Your Information,,,,,,,,,,,,,,,,,,
0,9.  Release of Your Information for Legal Purposes,,,,,,,,,,,,,,,,,,
0,10.  Commercial and Non-Commercial Communications,,,,,,,,,,,,,,,,,,
4,11.  Security Measures,,,,,,,,,,,,,,,,,,
8,12.  Your California Online Privacy Rights,,,,,,,,,,,,,,,,,,
0,13.  International Transfer,,,,,,,,,,,,,,,,,,
0,14.  Amendments,,,,,,,,,,,,,,,,,,
8,General Data Protection Regulation (GDPR),,,,,,,,,,,,,,,,,,
1,Log Files,,,,,,,,,,,,,,,,,,
2,Cookies and Web Beacons,,,,,,,,,,,,,,,,,,
0,Privacy Policies,,,,,,,,,,,,,,,,,,
14,Third Party Privacy Policies,,,,,,,,,,,,,,,,,,
7,Children's Information,,,,,,,,,,,,,,,,,,
0,Online Privacy Policy Only,,,,,,,,,,,,,,,,,,
0,Consent,,,,,,,,,,,,,,,,,,
1,"In the course of our business, we may collect Personal Information about you from the following sources:",,,,,,,,,,,,,,,,,,
4,Our Policies Regarding the Protection of the Confidentiality and Security of Your Personal Information,,,,,,,,,,,,,,,,,,
3,Our Policies and Practices Regarding the Sharing of Your Personal Information,,,,,,,,,,,,,,,,,,
6,Right to Access Your Personal Information and Ability to Correct Errors or Request Changes or Deletion,,,,,,,,,,,,,,,,,,
0,Multiple Products or Services,,,,,,,,,,,,,,,,,,
0,PROJECT DISTINCT,,,,,,,,,,,,,,,,,,
13,Why do we collect personal information?,,,,,,,,,,,,,,,,,,
1,What kind of personal information do we collect?,,,,,,,,,,,,,,,,,,
2,What are cookies and how do we use them?,,,,,,,,,,,,,,,,,,
4,How do we protect your personal information?,,,,,,,,,,,,,,,,,,
3,How and when do we disclose the information we collect?,,,,,,,,,,,,,,,,,,
0,Subscribe to the PROJECT DISTINCT DAILY PODCAST,,,,,,,,,,,,,,,,,,
0,Introduction,,,,,,,,,,,,,,,,,,
1,This policy applies to information we collect,,,,,,,,,,,,,,,,,,
1,Information We Collect About You and How We Collect It,,,,,,,,,,,,,,,,,,
1,Information You Provide to Us,,,,,,,,,,,,,,,,,,
1,Information We Collect Through Automatic Data Collection Technologies.,,,,,,,,,,,,,,,,,,
2,Cookies (or browser cookies),,,,,,,,,,,,,,,,,,
2,Flash Cookies.,,,,,,,,,,,,,,,,,,
0,Web Beacons.,,,,,,,,,,,,,,,,,,
14,Third-party Use of Cookies and Other Tracking Technologies.,,,,,,,,,,,,,,,,,,
13,How We Use Your Information,,,,,,,,,,,,,,,,,,
3,Disclosure of Your Information,,,,,,,,,,,,,,,,,,
6,Withdrawing Your Consent,,,,,,,,,,,,,,,,,,
0,Supplementing Information,,,,,,,,,,,,,,,,,,
3,We may also disclose your personal information:,,,,,,,,,,,,,,,,,,
13,Choices About How We Use and Disclose Your Information,,,,,,,,,,,,,,,,,,
5,Tracking Technologies and Advertising,,,,,,,,,,,,,,,,,,
14,Disclosure of Your Information for Third-Party Advertising,,,,,,,,,,,,,,,,,,
0,Promotional Offers from the Company.,,,,,,,,,,,,,,,,,,
5,Targeted Advertising,,,,,,,,,,,,,,,,,,
6,Accessing and Correcting Your Information,,,,,,,,,,,,,,,,,,
4,Data Security,,,,,,,,,,,,,,,,,,
9,Changes to Our Privacy Policy,,,,,,,,,,,,,,,,,,
0,Contact Information,,,,,,,,,,,,,,,,,,
12,Removal of Your Information,,,,,,,,,,,,,,,,,,
0,Concerns or Questions Regarding our Compliance,,,,,,,,,,,,,,,,,,
0,Digital Millennium Copyright Act Notice:,,,,,,,,,,,,,,,,,,
0,Compliance with the General Digital Protection Regulation promulgated by the European Union in May 2018,,,,,,,,,,,,,,,,,,
0,Book A Demo,,,,,,,,,,,,,,,,,,
0,Request For Quote,,,,,,,,,,,,,,,,,,
0,Full Service Press Release Form,,,,,,,,,,,,,,,,,,
0,"Don't worry, we got you!",,,,,,,,,,,,,,,,,,
0,SCOPE OF THIS POLICY,,,,,,,,,,,,,,,,,,
0,YOUR CONSENT,,,,,,,,,,,,,,,,,,
0,OUR TERMS OF USE ,,,,,,,,,,,,,,,,,,
6,YOUR CHOICES,,,,,,,,,,,,,,,,,,
9,THIS POLICY MAY CHANGE,,,,,,,,,,,,,,,,,,
1,INFORMATION WE COLLECT,,,,,,,,,,,,,,,,,,
14,INFORMATION ABOUT THIRD-PARTY COOKIES,,,,,,,,,,,,,,,,,,
13,HOW WE USE YOUR INFORMATION,,,,,,,,,,,,,,,,,,
3,HOW WE SHARE YOUR INFORMATION,,,,,,,,,,,,,,,,,,
4,HOW WE PROTECT YOUR INFORMATION,,,,,,,,,,,,,,,,,,
7,A NOTE ABOUT CHILDREN__ PRIVACY,,,,,,,,,,,,,,,,,,
14,LINKS TO OTHER WEBSITES,,,,,,,,,,,,,,,,,,
13,ACCESS TO YOUR INFORMATION,,,,,,,,,,,,,,,,,,
12,RETENTION OF PERSONAL INFORMATION,,,,,,,,,,,,,,,,,,
0,GOVERNING LAW,,,,,,,,,,,,,,,,,,
8,QUESTIONS ABOUT THIS POLICY OR AMERICAN PUBLIC MEDIA GROUP__ DATA PRACTICES,,,,,,,,,,,,,,,,,,
0,Privacy Statement,,,,,,,,,,,,,,,,,,
8,Information we automatically gather when you visit American Public Media Web sites ,,,,,,,,,,,,,,,,,,
1,Information you give us,,,,,,,,,,,,,,,,,,
1,Name and contact information,,,,,,,,,,,,,,,,,,
1,Demographic and Personal Information,,,,,,,,,,,,,,,,,,
1,Credit-card information,,,,,,,,,,,,,,,,,,
0,Special note for APM contributors,,,,,,,,,,,,,,,,,,
0,Special Note for Public Insight Network Participants,,,,,,,,,,,,,,,,,,
1,Information provided to PIN,,,,,,,,,,,,,,,,,,
4,How APM stores your data,,,,,,,,,,,,,,,,,,
13,How APM may use your data,,,,,,,,,,,,,,,,,,
13,How other PIN newsrooms may use your data,,,,,,,,,,,,,,,,,,
8,Your California Privacy Rights,,,,,,,,,,,,,,,,,,
8,Contact American Public Media,,,,,,,,,,,,,,,,,,
0,Consent ,,,,,,,,,,,,,,,,,,
0,Nielsen//NetRatings,,,,,,,,,,,,,,,,,,
0,Effective Date,                                             ,Personal identification information ,,,,,,,,,,,,,,,,
1,Non-personal identification information ,,,,,,,,,,,,,,,,,,
2,Web browser cookies ,,,,,,,,,,,,,,,,,,
10,How we use collected information ,,,,,,,,,,,,,,,,,,
4,How we protect your information,,,,,,,,,,,,,,,,,,
3,Sharing your personal information,,,,,,,,,,,,,,,,,,
14,Third party websites,,,,,,,,,,,,,,,,,,
9,Changes to this privacy policy ,,,,,,,,,,,,,,,,,,
0,Your acceptance of these terms ,,,,,,,,,,,,,,,,,,
11,Contact Us ,,,,,,,,,,,,,,,,,,
1,Personal identification information,,0,VTS,,,,,,,,,,,,,,,
0,Sales & Support,,,,,,,,,,,,,,,,,,
1,Information we collect about you and how we collect it,,,,,,,,,,,,,,,,,,
13,How we use your information,,,,,,,,,,,,,,,,,,
3,Disclosure of your information,,,,,,,,,,,,,,,,,,
8,Data processing and the GDPR,,,,,,,,,,,,,,,,,,
8,Data controlling and the GDPR,,,,,,,,,,,,,,,,,,
6,"Accessing, correcting your information and exercising privacy law data rights",,,,,,,,,,,,,,,,,,
14,Third-Party data controllers,,,,,,,,,,,,,,,,,,
8,Privacy Shield,,,,,,,,,,,,,,,,,,
4,Data security,,,,,,,,,,,,,,,,,,
0,Questions or complaints,,,,,,,,,,,,,,,,,,
9,Changes to our privacy policy,,,0,Privacy Policies Statement,,,,,,,,,,,,,,
1,Information Gathered,,,,,,,,,,,,,,,,,,
1,Gathering of Personally-Identifying Information,,,,,,,,,,,,,,,,,,
4,Protection of Certain Personally-Identifying Information,,,,,,,,,,,,,,,,,,
2,Use of Cookies,,,,,,,,,,,,,,,,,,
14,Links to Other Web Sites,,,,,,,,,,,,,,,,,,
9,Changes to this Privacy Statement,,,,,,,,,,,,,,,,,,
11,Contacting our Web Site,,,,0,Information Collection And Use,,,,,,,,,,,,,
1,Log Data,,,,,,,,,,,,,,,,,,
2,Cookies,,,,,,,,,,,,,,,,,,
2,DoubleClick Cookie,,,,,,,,,,,,,,,,,,
4,Security,,,,,,,,,,,,,,,,,,
14,Links To Other Sites,,,,,,,,,,,,,,,,,,
7,Children's Privacy,,,,,,,,,,,,,,,,,,
9,Changes To This Privacy Policy,,,,,,,,,,,,,,,,,,
11,Contact Us ,,,,,0,Information Collection And Use,,,,,,,,,,,,
1,information collection and use,,,,,,,,,,,,,,,,,,
1,log data,,,,,,,,,,,,,,,,,,
2,cookies,,,,,,,,,,,,,,,,,,
11,service providers,,,,,,,,,,,,,,,,,,
0,compliance with laws,,,,,,,,,,,,,,,,,,
5,business transaction,,,,,,,,,,,,,,,,,,
4,security,,,,,,,,,,,,,,,,,,
0,international transfer,,,,,,,,,,,,,,,,,,
14,links to other sites,,,,,,,,,,,,,,,,,,
7,children__ privacy,,,,,,,,,,,,,,,,,,
9,changes to this privacy policy,,,,,,,,,,,,,,,,,,
11,contact us,,,,,,0,children__ privacy,,,,,,,,,,,
14,disclosure of personal information to third parties,,,,,,,,,,,,,,,,,,
3,international transfers of personal information,,,,,,,,,,,,,,,,,,
6,your rights and controlling your personal information,,,,,,,,,,,,,,,,,,
2,use of cookies,,,,,,,,,,,,,,,,,,
0,limits of our policy,,,,,,,,,,,,,,,,,,
9,changes to this policy,,,,,,,,,,,,,,,,,,
11,contact us,,,,,,,,,,,,,,,,,,
0,domains,,,,,,,,,,,,,,,,,,
0,hosting,,,,,,,,,,,,,,,,,,
4,security,,,,,,,,,,,,,,,,,,
0,account,,,,,,,,,,,,,,,,,,
0,legitimate reasons for processing your personal information,,,,,,,,,,,,,,,,,,
1,collection and use of information,,,,,,,,,,,,,,,,,,
4,security of your personal information,,,,,,,,,,,,,,,,,,
12,how long we keep your personal information,,,,,,,0,akvelon privacy policy,,,,,,,,,,
1,INFORMATION WE COLLECT FROM YOU,,,,,,,,,,,,,,,,,,
2,COOKIES,,,,,,,,,,,,,,,,,,
13,USES MADE OF THE INFORMATION,,,,,,,,,,,,,,,,,,
3,DISCLOSURE OF YOUR INFORMATION,,,,,,,,,,,,,,,,,,
4,WHERE WE STORE YOUR PERSONAL DATA,,,,,,,,,,,,,,,,,,
6,YOUR RIGHTS,,,,,,,,,,,,,,,,,,
0,ACCESS TO INFORMATION,,,,,,,,,,,,,,,,,,
9,CHANGES TO OUR PRIVACY POLICY,,,,,,,,,,,,,,,,,,
11,CONTACT,,,,,,,,0,Assessment Platform,,,,,,,,,
1,Learning Management System,,,,,,,,,,,,,,,,,,
1,Human Resource Platform,,,,,,,,,,,,,,,,,,
1,Voice Over Systems,,,,,,,,,,,,,,,,,,
0,User Communications,,,,,,,,,,,,,,,,,,
1,Customer Accounts and Payments,,,,,,,,,,,,,,,,,,
2,Cookies,,,,,,,,,,,,,,,,,,
1,Automatically Collected Information; Log information,,,,,,,,,,,,,,,,,,
0,Job Applicants,,,,,,,,,,,,,,,,,,
0,Customers,,,,,,,,,,,,,,,,,,
11,Service Providers,,,,,,,,,,,,,,,,,,
2,Cookies,,,,,,,,,,,,,,,,,,
3,Corporate Transactions,,,,,,,,,,,,,,,,,,
3,Government Requests,,,,,,,,,,,,,,,,,,
4,Fraud Prevention and Security,,,,,,,,,,,,,,,,,,
0,Our Platforms,,,,,,,,,,,,,,,,,,
0,AB 1584:,,,,,,,,,,,,,,,,,,
0,Certification,,,,,,,,,,,,,,,,,,
0,Partners,,,,,,,,,,,,,,,,,,
0,Membership,,,,,,,,,0,1. Grant of a Limited License.,,,,,,,,
6,2. No Ownership Rights.,,,,,,,,,,,,,,,,,,
14,3. Third-Party Software.,,,,,,,,,,,,,,,,,,
14,4. Third-Party Content.,,,,,,,,,,,,,,,,,,
6,5. Restrictions and Requirements. ,,,,,,,,,,,,,,,,,,
0,6. Modification and Order of Precedence.,,,,,,,,,,,,,,,,,,
1,7. Data Collection and Use.,,,,,,,,,,,,,,,,,,
0,8. Open Source.,,,,,,,,,,,,,,,,,,
11,9. Support,,,,,,,,,,,,,,,,,,
0,10. Termination,,,,,,,,,,,,,,,,,,
0,11. Additional Terms Incorporated by Reference.,,,,,,,,,,0,Information Collection and Use,,,,,,,
1,Log Data,,,,,,,,,,,,,,,,,,
2,Cookies,,,,,,,,,,,,,,,,,,
11,Service Providers,,,,,,,,,,,,,,,,,,
4,Security,,,,,,,,,,,,,,,,,,
14,Links to Other Sites,,,,,,,,,,,,,,,,,,
9,Changes to This Privacy Policy,,,,,,,,,,,,,,,,,,
11,Contact Us,,,,,,,,,,,0,Authorization of Use,,,,,,
1,Personal Information We Collect,,,,,,,,,,,,,,,,,,
13,How We Use Personal Information,,,,,,,,,,,,,,,,,,
2,"Cookies, Pixel Tags/Web Beacons and Similar Technologies",,,,,,,,,,,,,,,,,,
3,Disclosing Personal Information to Others,,,,,,,,,,,,,,,,,,
12,Retaining Personal Information,,,,,,,,,,,,,,,,,,
4,Protecting Collected Information,,,,,,,,,,,,,,,,,,
9,Notification of Changes,,,,,,,,,,,,,,,,,,
6,Your Rights and Choices,,,,,,,,,,,,,,,,,,
